title,abstract,authors,figures,pages,tables,pdf_link,primary_subject,secondary_subjects,submitted_journal,published_journal,keywords,date
FEASTS: Radial Distribution of HI surface densities down to 0.01 M$_{\odot}$ pc$^{-2}$ of 35 Nearby Galaxies,"We present the HI surface density ($\Sigma_{\rm HI}$) radial distributions based on total-power HI images obtained by FAST in the FEASTS program, for 35 galaxies with inclinations lower than 72 degree. We derive the HI radius $R_{001}$, which is the radius for the 0.01 $\,M_{\odot}\,{\rm pc}^{-2}$ ($\sim10^{18.1}\,{\rm cm}^{-2}$) iso-density level, 100 times deeper than the 1 $\,M_{\odot}\,{\rm pc}^{-2}$ level previously commonly used to measure $R_1$. The profile shapes show a large diversity at a given radius in units of kpc, group virial radius, and $R_1$, but align more tightly with radius normalized by $R_{001}$. The universal HI profile has a scatter of $\sim0.2$ dex, and a scale-length of $\sim0.11R_{001}$ in the outer region. We derive a new $R_{001}$-$M_{\rm HI}$ relation, which has a scatter of 0.02 dex, and similar slope of $\sim$0.5 as the previously known $R_1$-$M_{\rm HI}$ relation. Excluding strongly tidal-interacting galaxies, the ratio $R_{001}/R_1$ (anti-)correlate strongly and significantly with the HI-to-stellar mass ratio and sSFR, but not with the stellar mass, $M_{\rm HI}$, dark matter mass, or SFR. The strongly tidal-interacting galaxies tend to show deviations from these trends, and have the most flattened profiles. These results imply that in absence of major tidal interactions, physical processes must cooperate so that $\Sigma_{\rm HI}$ distributes in a self-similar way in the outer region down to the 0.01$\,M_{\odot}\,{\rm pc}^{-2}$ level. Moreover, they may drive gas flows in such a way, that HI-richer galaxies have HI disks not only extend further, but also transport HI inward more efficiently from $R_{001}$ to $R_1$.","['Jing Wang', 'Dong Yang', 'Xuchen Lin', 'Qifeng Huang', 'Zhijie Qu', 'Hsiao-Wen Chen', 'Hong Guo', 'Luis C. Ho', 'Peng Jiang', 'Zezhong Liang', 'Céline Péroux', 'Lister Staveley-Smith', 'Simon Weng']",8.0,15.0,2.0,arxiv.org/pdf/2501.01289,Astrophysics of Galaxies,,,,"['interstellar medium 1', 'Galaxy evolution']",2025-01-03
Systematic Search for Long-Term Trends in Fermi-LAT Jetted Active Galactic Nuclei,"Jetted Active Galactic Nuclei (AGN) exhibit variability across a wide range of time scales. Traditionally, this variability can often be modeled well as a stochastic process. However, in certain cases, jetted AGN variability displays regular patterns, enabling us to conduct investigations aimed at understanding its origins. Additionally, a novel type of variability has emerged in jetted AGN lightcurves, specifically, the observation of a long-term trend characterized by a linear increase of the flux with time in blazars such as PG 1553+113, which is among the objects most likely to display periodic behavior. In this paper, we present the results of a systematic search for long-term trends, spanning $\approx$10\, years, utilizing 12 years of Fermi-LAT observations. The study is focused on detecting the presence of linear or quadratic long-term trends in a sample of 3308 jetted AGN. Our analysis has identified 40 jetted AGN that exhibit long-term trends, each with distinct properties, which we also characterize in this study. These long-term trends may originate from the dynamics of a supermassive black hole binary system, or they could be the result of intrinsic phenomena within the jet itself. Our findings can help in addressing questions pertaining to the astrophysical origins of variability and periodicity within jetted AGN.","['P. Penil', 'A. Domínguez', 'S. Buson', 'M. Ajello', 'S. Adhikari', 'A. Rico']",5.0,22.0,4.0,arxiv.org/pdf/2501.01310,High Energy Astrophysical Phenomena,,,,"['telescopes: Fermi-LAT 1', 'BL Lacertae objects', 'methods: data analysis']",2025-01-03
Multi-Observatory Study of Young Stellar Energetic Flares (MORYSEF): No Evidence For Abnormally Strong Stellar Magnetic Fields After Powerful X-ray Flares,"We explore the empirical power-law relationship between X-ray luminosity (Lx) and total surface magnetic flux (Phi), established across solar magnetic elements, time- and disk-averaged emission from the Sun, older active stars, and pre-main-sequence (PMS) stars. Previous models of large PMS X-ray flares, lacking direct magnetic field measurements, showed discrepancies from this baseline law, which MHD simulations attribute to unusually strong magnetic fields during flares. To test this, we used nearly simultaneous Chandra X-ray and HET-HPF near-infrared observations of four young Orion stars, measuring surface magnetic fields during or just after powerful PMS X-ray flares. We also modeled these PMS X-ray flares, incorporating their measured magnetic field strengths. Our findings reveal magnetic field strengths at the stellar surface typical of non-flaring PMS stars, ruling out the need for abnormally strong fields during flares. Both PMS and solar flares deviate from the Lx-Phi law, with PMS flares exhibiting a more pronounced deviation, primarily due to their much larger active regions on the surface and larger flaring loop volumes above the surface compared to their solar counterparts. These deviations likely stem from the fact that powerful flares are driven by magnetic reconnection, while baseline X-ray emission may involve less efficient mechanisms like Alfven wave heating. Our results also indicate a preference for dipolar magnetic loops in PMS flares, consistent with Zeeman-Doppler imaging of fully convective stars. This requirement for giant dipolar loops aligns with MHD predictions of strong dipoles supported by polar magnetic surface active regions in fast-rotating, fully convective stars.","['Konstantin V. Getman', 'Oleg Kochukhov', 'Joe P. Ninan', 'Eric D. Feigelson', 'Vladimir S. Airapetian', 'Abygail R. Waggoner', 'L. Ilsedore Cleeves', 'Jan Forbrich', 'Sergio A. Dzib', 'Charles J. Law', 'Christian Rab', 'Daniel M. Krolikowski']",9.0,25.0,3.0,arxiv.org/pdf/2501.01321,Solar and Stellar Astrophysics,"['High Energy Astrophysical Phenomena', 'High Energy Physics - Phenomenology']",The Astrophysical Journal,,['Pre-main sequence stars (1290) — X-ray stars (1823) — Stellar magnetic fields (1610) — Stellar x-ray flares (1637) — Stellar flares (1603) — The Sun (1693) — Solar flares (1496) — Solar magnetic fields (1503) — Solar magnetic reconnection (1504) 1'],2025-01-03
Quasi-parallel anti-sunward propagating whistler waves associated to the electron-deficit in the near-Sun solar wind: Particle-in-Cell simulation,"In-situ observations of the solar wind have shown that the electron velocity distribution function (VDF) consists of a quasi-Maxwellian core, comprising most of the electron population, and two sparser components: the halo, which are suprathermal and quasi-isotropic electrons, and an escaping beam population, the strahl. Recent Parker Solar Probe (PSP) and Solar Orbiter (SO) observations have added one more ingredient to the known non-thermal features, the deficit-a depletion in the sunward region of the VDF, already predicted by exospheric models but never so extensively observed. By employing Particle-in-Cell simulations, we study electron VDFs that reproduce those typically observed in the inner heliosphere and investigate whether the electron deficit may contribute to the onset of kinetic instabilities. Previous studies and in-situ observations show that strahl electrons drive oblique whistler waves unstable, which in turn scatter them. As a result, suprathermal electrons can occupy regions of phase space where they fulfil resonance conditions with the parallel-propagating whistler wave. The suprathermal electrons lose kinetic energy, resulting in the generation of unstable waves. The sunward side of the VDF, initially depleted of electrons, is gradually filled, as this wave-particle interaction process, triggered by the depletion itself, takes place. Our findings are compared and validated against current PSP and SO observations: among others, our study provides a mechanism explaining the presence in the heliosphere of regularly observed parallel anti-sunward whistler waves; suggests why these waves are frequently observed in concomitant with distributions presenting an electron deficit; describes a non-collisional heat flux regulating process.","['Alfredo Micera', 'Daniel Verscharen', 'Jesse T. Coburn', 'Maria Elena Innocenti']",6.0,11.0,0.0,arxiv.org/pdf/2501.01331,Solar and Stellar Astrophysics,"['Plasma Physics', 'Space Physics']",,,['Plasma Astrophysics — Solar wind — Space plasmas 1'],2025-01-03
Current constraints on cosmological scenarios with very low reheating temperatures,"We present an updated analysis of cosmological models with very low reheating scenarios ($T_\text{RH} \sim \mathcal{O}(\text{MeV})$). Our study includes a more precise computation of neutrino distribution functions, leveraging the latest datasets from cosmological surveys. We perform a joint analysis that combines constraints from Big Bang Nucleosynthesis, the Cosmic Microwave Background, and galaxy surveys, alongside separate investigations of these datasets, carefully assessing the impact of different choices of priors. At the $95\%$ confidence level, we establish a lower bound on the reheating temperature of $T_\text{RH} > 5.96 \; \text{MeV} $, representing the most stringent constraint to date.","['Nicola Barbieri', 'Thejs Brinckmann', 'Stefano Gariazzo', 'Massimiliano Lattanzi', 'Sergio Pastor', 'Ofelia Pisanti']",9.0,15.0,3.0,arxiv.org/pdf/2501.01369,Cosmology and Nongalactic Astrophysics,,,,[],2025-01-03
A Planet as the Possible Cause of the HD 181327 Debris Disk Asymmetry,"The debris disk around HD 181327 shows a significant asymmetry in its surface brightness profile when viewed in visible light. Observations from the Hubble Space Telescope STIS instrument show an arc of approximately 90 degrees of higher optical depth at a distance of 84 au from the star. We find that a 2-5 Jupiter-mass planet on a circular orbit at 62 au can produce and maintain a similar feature if the collisional lifetime of dust in the disk is at least 25 kiloyears, and smaller mass planets can produce similar results on longer timescales. We also find that the surface brightness asymmetry is much less pronounced at larger particle sizes, which may account for the fact that observations of HD181327 at longer wavelengths have not reported such an arc. We predict that if a planet is producing the arc in question, the planet is along the line joining the star to the feature, and make some estimates of its observability.","['Chris Fox', 'Paul Wiegert']",9.0,8.0,1.0,arxiv.org/pdf/2501.01387,Earth and Planetary Astrophysics,,,,"['methods: numerical', 'planets and satellites: detection', 'stars: individual: HD 181327 1 INTRODUCTION HD 181327 (also known as HIP 95270) is an 18']",2025-01-03
The Bayesian Global Sky Model (B-GSM): Validation of a Data Driven Bayesian Simultaneous Component Separation and Calibration Algorithm for EoR Foreground Modelling,"We introduce the Bayesian Global Sky Model (B-GSM), a novel data-driven Bayesian approach to modelling radio foregrounds at frequencies <400~MHz. B-GSM aims to address the limitations of previous models by incorporating robust error quantification and calibration. Using nested sampling, we compute Bayesian evidence and posterior distributions for the spectral behaviour and spatial amplitudes of diffuse emission components. Bayesian model comparison is used to determine the optimal number of emission components and their spectral parametrisation. Posterior sky predictions are conditioned on both diffuse emission and absolute temperature datasets, enabling simultaneous component separation and calibration. B-GSM is validated against a synthetic dataset designed to mimic the partial sky coverage, thermal noise, and calibration uncertainties present in real observations of the diffuse sky at low frequencies. B-GSM correctly identifies a model parametrisation with two emission components featuring curved power-law spectra. The posterior sky predictions agree with the true synthetic sky within statistical uncertainty. We find that the root-mean-square (RMS) residuals between the true and posterior predictions for the sky temperature as a function of LST are significantly reduced, when compared to the uncalibrated dataset. This indicates that B-GSM is able to correctly calibrate its posterior sky prediction to the independent absolute temperature dataset. We find that while the spectral parameters and component amplitudes exhibit some sensitivity to prior assumptions, the posterior sky predictions remain robust across a selection of different priors. This is the first of two papers, and is focused on validation of B-GSMs Bayesian framework, the second paper will present results of deployment on real data and introduce the low-frequency sky model which will be available for public download.","['George Carter', 'Will Handley', 'Mark Ashdown', 'Nima Razavi-Ghods']",8.0,26.0,2.0,arxiv.org/pdf/2501.01417,Instrumentation and Methods for Astrophysics,['Cosmology and Nongalactic Astrophysics'],,"Nuclear Physics A 1052, 122941 (2024)","['reionization', 'Astrophysics - Cosmology and Nongalactic Astrophysics 1 INTRODUCTION Detection of the cosmological 21cm signal is limited by con- tamination by bright foreground emission that exceeds the expected signal by 3-6 orders of magnitude (Pritchard & Loeb 2012', 'diffuse radiation', 'cosmology: obser- vations', 'methods: statistical', 'Galaxy: general', 'ISM: general']",2025-01-03
Stellar Physics and General Relativity,"The general theory of relativity is currently established as the most precise theory of gravity supported by observations, and its application is diverse ranging from astronomy to cosmology, while its application to astrophysics has been restricted only to compact stars due to the assumption that the Newtonian approximation is sufficient for celestial bodies with medium density such as the sun. Surprisingly, the recent research of the author has implied that this long-held assumption is not valid, and that non-perturbative effects significantly change relevant results obtained by Newtonian gravity. In particular, local physical quantities inside the sun are newly predicted to exhibit power law differently from the so-called standard solar model. This surprising result is reviewed including brief discussion of physics behind the discrepancy and a new application of the new mass formula to gas planets.",['Shuichi Yokoyama'],0.0,11.0,1.0,arxiv.org/pdf/2501.01442,Solar and Stellar Astrophysics,"['Earth and Planetary Astrophysics', 'General Relativity and Quantum Cosmology', 'High Energy Physics - Phenomenology', 'High Energy Physics - Theory']",,,[],2025-01-06
"Distribution of the H\""ogbom CLEAN Algorithm Using Tiled Images with Feedback","Data sizes for next generation radio telescopes, such as the Square Kilometre Array (SKA), are far above that of their predecessors. The CLEAN algorithm was originally developed by Högbom [1974], long before such data sizes were thought possible and is still the most popular tool used for deconvolution in interferometric imaging. In order to facilitate these new large data sizes and reduce computation time a distributed approach to the algorithm has been investigated. The serial nature of the CLEAN algorithm, due to its matching pursuit design, makes this challenging. Splitting the image into a number of tiles which can be individually deconvolved has been investigated, but this creates discontinuities in the deconvolved image and makes it difficult to deconvolve faint sources in the presence of a point spread function associated with bright sources in other tiles. A method of feedback between each of the tiles has been developed to deal with these problems. This new approach has been tested on a simulated dataset containing multiple point sources of known intensity. When compared to a standard Högbom deconvolution the tiled feedback version produced a reconstructed image, containing sources up to 2.1 Jy, which agreed to between -0.1 Jy and +0.04 Jy of the standard method across the whole deconvolved image at a speed up to 10.66 times faster.","['Daniel Wright', 'Karel Adámek', 'Wesley Armour']",5.0,4.0,0.0,arxiv.org/pdf/2501.01461,Instrumentation and Methods for Astrophysics,,,,[],2025-01-06
Sequencing Silicates in the IRS Debris Disk Catalog I: Methodology for Unsupervised Clustering,"Debris disks, which consist of dust, planetesimals, planets, and gas, offer a unique window into the mineralogical composition of their parent bodies, especially during the critical phase of terrestrial planet formation spanning 10 to a few hundred million years. Observations from the $\textit{Spitzer}$ Space Telescope have unveiled thousands of debris disks, yet systematic studies remain scarce, let alone those with unsupervised clustering techniques. This study introduces $\texttt{CLUES}$ (CLustering UnsupErvised with Sequencer), a novel, non-parametric, fully-interpretable machine-learning spectral analysis tool designed to analyze and classify the spectral data of debris disks. $\texttt{CLUES}$ combines multiple unsupervised clustering methods with multi-scale distance measures to discern new groupings and trends, offering insights into compositional diversity and geophysical processes within these disks. Our analysis allows us to explore a vast parameter space in debris disk mineralogy and also offers broader applications in fields such as protoplanetary disks and solar system objects. This paper details the methodology, implementation, and initial results of $\texttt{CLUES}$, setting the stage for more detailed follow-up studies focusing on debris disk mineralogy and demographics.","['Cicero X. Lu', 'Tushar Mittal', 'Christine H. Chen', 'Alexis Y. Li', 'Kadin Worthen', 'B. A. Sargent', 'Carey M. Lisse', 'G. C. Sloan', 'Dean C. Hines', 'Dan M. Watson', 'Isabel Rebollido', 'Bin B. Ren', 'Joel D. Green']",16.0,23.0,3.0,arxiv.org/pdf/2501.01484,Earth and Planetary Astrophysics,"['Instrumentation and Methods for Astrophysics', 'Machine Learning']",ApJS,,['Debris disks (363)'],2025-01-06
A Near-IR Search for Helium in the Superluminous Supernova SN 2024ahr,"We present a detailed study of SN 2024ahr, a hydrogen-poor superluminous supernova (SLSN-I), for which we determine a redshift of $z=0.0861$. SN 2024ahr has a peak absolute magnitude of $M_g\approx M_r\approx -21$ mag, rest-frame rise and decline times (50$\%$ of peak) of about 40 and 80 days, respectively, and typical spectroscopic evolution in the optical band. Similarly, modeling of the UV/optical light curves with a magnetar spin-down engine leads to typical parameters: an initial spin period of $\approx 3.3$ ms, a magnetic field strength of $\approx 6\times 10^{13}$ G, and an ejecta mass of $\approx 9.5$ M$_\odot$. Due to its relatively low redshift we obtained a high signal-to-noise ratio near-IR spectrum about 43 rest-frame days post-peak to search for the presence of helium. We do not detect any significant feature at the location of the He I $\,\lambda 2.058$ $\mu$m feature, and place a conservative upper limit of $\sim 0.05$ M$_\odot$ on the mass of helium in the outer ejecta. We detect broad features of Mg I $\,\lambda 1.575$ $\mu$m and a blend of Co II $\,\lambda 2.126$ $\mu$m and Mg II, $\lambda 2.136$ $\mu$m, which are typical of Type Ic SNe, but with higher velocities. Examining the sample of SLSNe-I with NIR spectroscopy, we find that, unlike SN 2024ahr, these events are generally peculiar. This highlights the need for a large sample of prototypical SLSNe-I with NIR spectroscopy to constrain the fraction of progenitors with helium (Ib-like) and without helium (Ic-like) at the time of the explosion, and hence the evolutionary path(s) leading to the rare outcome of SLSNe-I.","['Harsh Kumar', 'Edo Berger', 'Peter K. Blanchard', 'Sebastian Gomez', 'Daichi Hiramatsu', 'Moira Andrews', 'K. Azalee Bostroem', 'Yize Dong', 'Joseph Farah', 'Estefania Padilla Gonzalez', 'D. Andrew Howell', 'Curtis McCully', 'Darshana Mehta', 'Megan Newsome', 'Aravind P. Ravi', 'Giacomo Terreran']",7.0,20.0,2.0,arxiv.org/pdf/2501.01485,High Energy Astrophysical Phenomena,"['Astrophysics of Galaxies', 'Solar and Stellar Astrophysics']",,,['Supernovae() — Optical astronomy() — Transient() — NIR Spectroscopy() —Astronomical spectroscopy() 1'],2025-01-06
Line detections in photospheric radius expansion bursts from 4U 1820-303,"Context: NICER (Neutron star Interior Composition ExploreR) is the instrument of choice for the spectral analysis of type I X-ray bursts, as it provides high throughput at X-ray CCD resolution, down to 0.3 keV. Aims: This study investigates whether the energies of absorption lines detected in photospheric radius expansion (PRE) bursts correlate with the inferred blackbody radius. Previous reports suggested such a correlation, attributed to a combination of weaker gravitational redshift and higher blueshifts in bursts with larger radii. Methods: The analysis reexamines four previously studied PRE bursts and examines eight additional bursts from 4U 1820-303, evidencing PRE. Spectral evolution is tracked on the shortest possible timescales (tenth of a second) adopting two parallel continuum descriptions to characterise the photospheric expansion and line evolution. Applying the accretion-enhanced model, maximum blackbody radii of up to $\sim$ 900 km are inferred, with peak bolometric luminosities exceeding the Eddington limit of an Helium accretor. Absorption lines are assessed for significance using Monte Carlo simulations, and spectral lines are characterised using the state-of-art plasma codes available within {\sc{spex}} with a phenomenological continuum. A thorough parameter search explores Doppler shifts to avoid local minima. Results: Several significant (> 99.9%) absorption lines, including the previously reported 2.97 keV line, are detected. While no consistent correlation between line energies and blackbody radii is confirmed, bursts with larger radii exhibit up to four lines and the line strength is higher. The modelling suggests that the observed lines mostly originate from slightly redshifted (almost rest-frame) photo-/collisionally ionised gas in emission. For the burst with the largest PRE, a combination of photo-ionised plasma in both emission and absorption is preferred.","['F. Barra', 'D. Barret', 'C. Pinto', 'T. Di Salvo', 'N. Weinberg', 'S. Guichandut']",11.0,18.0,3.0,arxiv.org/pdf/2501.01488,High Energy Astrophysical Phenomena,,,,"['accretion', 'accretiondiscs-Neutronstars–X-rays:bursts-X-rays:binaries–X-rays:individuals:4U1820-303-NICER 1']",2025-01-06
A Link Between White Dwarf Pulsars and Polars: Multiwavelength Observations of the 9.36-Minute Period Variable Gaia22ayj,"White dwarfs (WDs) are the most abundant compact objects, and recent surveys have suggested that over a third of WDs in accreting binaries host a strong (B $\gtrsim$ 1 MG) magnetic field. However, the origin and evolution of WD magnetism remain under debate. Two WD pulsars, AR Sco and J191213.72-441045.1 (J1912), have been found, which are non-accreting binaries hosting rapidly spinning (1.97-min and 5.30-min, respectively) magnetic WDs. The WD in AR Sco is slowing down on a $P/\dot{P}\approx 5.6\times 10^6$ yr timescale. It is believed they will eventually become polars, accreting systems in which a magnetic WD (B $\approx 10-240$ MG) accretes from a Roche lobe-filling donor spinning in sync with the orbit ($\gtrsim 78$ min). Here, we present multiwavelength data and analysis of Gaia22ayj, which outbursted in March 2022. We find that Gaia22ayj is a magnetic accreting WD that is rapidly spinning down ($P/\dot{P} = 6.1^{+0.3}_{-0.2}\times 10^6$ yr) like WD pulsars, but shows clear evidence of accretion, like polars. Strong linear polarization (40%) is detected in Gaia22ayj; such high levels have only been seen in the WD pulsar AR Sco and demonstrate the WD is magnetic. High speed photometry reveals a 9.36-min period accompanying a high amplitude ($\sim 2$ mag) modulation. We associate this with a WD spin or spin-orbit beat period, not an orbital period as was previously suggested. Fast (60-s) optical spectroscopy reveals a broad ``hump'', reminiscent of cyclotron emission in polars, between 4000-8000 Angstrom. We find an X-ray luminosity of $L_X = 2.7_{-0.8}^{+6.2}\times10^{32} \textrm{ erg s}^{-1}$ in the 0.3-8 keV energy range, while two VLA radio campaigns resulted in a non-detection with a $F_r < 15.8\mu\textrm{Jy}$ 3$ \sigma$ upper limit. The shared properties of both WD pulsars and polars suggest that Gaia22ayj is a missing link between the two classes of magnetic WD binaries.","['Antonio C. Rodriguez', 'Kareem El-Badry', 'Pasi Hakala', 'Pablo Rodríguez-Gil', 'Tong Bao', 'Ilkham Galiullin', 'Jacob A. Kurlander', 'Casey J. Law', 'Ingrid Pelisoli', 'Matthias R. Schreiber', 'Kevin Burdge', 'Ilaria Caiazzo', 'Jan van Roestel', 'Paula Szkody', 'Andrew J. Drake', 'David A. H. Buckley', 'Stephen B. Potter', 'Boris Gaensicke', 'Kaya Mori', 'Eric C. Bellm', 'Shrinivas R. Kulkarni', 'Thomas A. Prince', 'Matthew Graham', 'Mansi M. Kasliwal', 'Sam Rose', 'Yashvi Sharma', 'Tomás Ahumada', 'Shreya Anand', 'Akke Viitanen', 'Avery Wold', 'Tracy X. Chen', 'Reed Riddle', 'Roger Smith']",21.0,28.0,2.0,arxiv.org/pdf/2501.01490,Solar and Stellar Astrophysics,['High Energy Astrophysical Phenomena'],PASP,,[],2025-01-06
A 22-Billion Solar Mass Black Hole in Holmberg 15A with Keck KCWI Spectroscopy and Triaxial Orbit Modeling,"Holmberg 15A (H15A), the brightest cluster galaxy of Abell 85, has an exceptionally low central surface brightness even among local massive elliptical galaxies with distinct stellar cores, making it exceedingly challenging to obtain high-quality spectroscopy to detect a supermassive black hole (SMBH) at its center. Aided by the superb sensitivity and efficiency of KCWI at the Keck II Telescope, we have obtained spatially resolved stellar kinematics over a ${\sim}100''\times 100''$ contiguous field of H15A for this purpose. The velocity field exhibits a low amplitude (${\sim}20\mathrm{~km~s}^{-1}$) rotation along a kinematic axis that is prominently misaligned from the photometric major axis, a strong indicator that H15A is triaxially shaped with unequal lengths for the three principal axes. Using 2500 observed kinematic constraints, we perform extensive calculations of stellar orbits with the triaxial Schwarzschild code, TriOS, and search over ${\sim}$40,000 galaxy models to simultaneously determine the mass and intrinsic 3D shape parameters of H15A. We determine a ratio of $p=0.89$ for the middle-to-long principal axes and $q=0.65$ for the short-to-long principal axes. Our best estimate of the SMBH mass, $M_\mathrm{BH}=(2.16^{+0.23}_{-0.18})\times 10^{10}M_{\odot}$, makes H15A -- along with NGC 4889 -- the galaxies hosting the most massive SMBHs known in the local universe. Both SMBHs lie significantly above the mean $M_\mathrm{BH}-\sigma$ scaling relation. Repeating the orbit modeling with the axisymmetrized version of TriOS produces worse fits to the KCWI kinematics and increases $M_\mathrm{BH}$ to $(2.55\pm 0.20) \times 10^{10}M_{\odot}$, which is still significantly below $M_\mathrm{BH}=(4.0\pm 0.8) \times 10^{10}M_{\odot}$ reported in a prior axisymmetric study of H15A.","['Emily R. Liepold', 'Chung-Pei Ma', 'Jonelle L. Walsh']",10.0,17.0,2.0,arxiv.org/pdf/2501.01493,Astrophysics of Galaxies,,ApJ,,"['Galaxies', 'Galaxy dark matter halos', '1', 'Galaxy kinematics', 'Galaxy dynamics', 'Galaxy evolution', 'Galaxy masses', 'Early-type galaxies', 'Supermassive black holes']",2025-01-06
Search for continuous gravitational waves from known pulsars in the first part of the fourth LIGO-Virgo-KAGRA observing run,"Continuous gravitational waves (CWs) emission from neutron stars carries information about their internal structure and equation of state, and it can provide tests of General Relativity. We present a search for CWs from a set of 45 known pulsars in the first part of the fourth LIGO--Virgo--KAGRA observing run, known as O4a. We conducted a targeted search for each pulsar using three independent analysis methods considering the single-harmonic and the dual-harmonic emission models. We find no evidence of a CW signal in O4a data for both models and set upper limits on the signal amplitude and on the ellipticity, which quantifies the asymmetry in the neutron star mass distribution. For the single-harmonic emission model, 29 targets have the upper limit on the amplitude below the theoretical spin-down limit. The lowest upper limit on the amplitude is $6.4\!\times\!10^{-27}$ for the young energetic pulsar J0537-6910, while the lowest constraint on the ellipticity is $8.8\!\times\!10^{-9}$ for the bright nearby millisecond pulsar J0437-4715. Additionally, for a subset of 16 targets we performed a narrowband search that is more robust regarding the emission model, with no evidence of a signal. We also found no evidence of non-standard polarizations as predicted by the Brans-Dicke theory.","['LIGO Scientific Collaboration', 'Virgo Collaboration', 'KAGRA Collaboration', 'A. G. Abac', 'R. Abbott', 'I. Abouelfettouh', 'F. Acernese', 'K. Ackley', 'S. Adhicary', 'N. Adhikari', 'R. X. Adhikari', 'V. K. Adkins', 'D. Agarwal', 'M. Agathos', 'M. Aghaei Abchouyeh', 'O. D. Aguiar', 'I. Aguilar', 'L. Aiello', 'A. Ain', 'P. Ajith', 'T. Akutsu', 'S. Albanesi', 'R. A. Alfaidi', 'A. Al-Jodah', 'C. Alléné', 'A. Allocca', 'S. Al-Shammari', 'P. A. Altin', 'S. Alvarez-Lopez', 'A. Amato', 'L. Amez-Droz', 'A. Amorosi', 'C. Amra', 'A. Ananyeva', 'S. B. Anderson', 'W. G. Anderson', 'M. Andia', 'M. Ando', 'T. Andrade', 'N. Andres', 'M. Andrés-Carcasona', 'T. Andrić', 'J. Anglin', 'S. Ansoldi', 'J. M. Antelis', 'S. Antier', 'M. Aoumi', 'E. Z. Appavuravther', 'S. Appert', 'S. K. Apple', 'K. Arai', 'A. Araya', 'M. C. Araya', 'J. S. Areeda', 'L. Argianas', 'N. Aritomi', 'F. Armato', 'N. Arnaud', 'M. Arogeti', 'S. M. Aronson', 'G. Ashton', 'Y. Aso', 'M. Assiduo', 'S. Assis de Souza Melo', 'S. M. Aston', 'P. Astone', 'F. Attadio', 'F. Aubin', 'K. AultONeal', 'G. Avallone', 'S. Babak', 'F. Badaracco', 'C. Badger', 'S. Bae', 'S. Bagnasco', 'E. Bagui', 'J. G. Baier', 'L. Baiotti', 'R. Bajpai', 'T. Baka', 'M. Ball', 'G. Ballardin', 'S. W. Ballmer', 'S. Banagiri', 'B. Banerjee', 'D. Bankar', 'P. Baral', 'J. C. Barayoga', 'B. C. Barish', 'D. Barker', 'P. Barneo', 'F. Barone', 'B. Barr', 'L. Barsotti', 'M. Barsuglia', 'D. Barta', 'A. M. Bartoletti', 'M. A. Barton', 'I. Bartos', 'S. Basak']",6.0,12.0,4.0,arxiv.org/pdf/2501.01495,High Energy Astrophysical Phenomena,,,,[],2025-01-06
"ORACLE: A Real-Time, Hierarchical, Deep-Learning Photometric Classifier for the LSST","We present ORACLE, the first hierarchical deep-learning model for real-time, context-aware classification of transient and variable astrophysical phenomena. ORACLE is a recurrent neural network with Gated Recurrent Units (GRUs), and has been trained using a custom hierarchical cross-entropy loss function to provide high-confidence classifications along an observationally-driven taxonomy with as little as a single photometric observation. Contextual information for each object, including host galaxy photometric redshift, offset, ellipticity and brightness, is concatenated to the light curve embedding and used to make a final prediction. Training on $\sim$0.5M events from the Extended LSST Astronomical Time-Series Classification Challenge, we achieve a top-level (Transient vs Variable) macro-averaged precision of 0.96 using only 1 day of photometric observations after the first detection in addition to contextual information, for each event; this increases to $>$0.99 once 64 days of the light curve has been obtained, and 0.83 at 1024 days after first detection for 19-way classification (including supernova sub-types, active galactic nuclei, variable stars, microlensing events, and kilonovae). We also compare ORACLE with other state-of-the-art classifiers and report comparable performance for the 19-way classification task, in addition to delivering accurate top-level classifications much earlier. The code and model weights used in this work are publicly available at our associated GitHub repository (this https URL).","['Ved G. Shah', 'Alex Gagliano', 'Konstantin Malanchev', 'Gautham Narayan', 'LSST Dark Energy Science Collaboration']",19.0,29.0,9.0,arxiv.org/pdf/2501.01496,Instrumentation and Methods for Astrophysics,"['High Energy Astrophysical Phenomena', 'Artificial Intelligence', 'Machine Learning']",ApJ,,[],2025-01-06
